cms_id,supplement_tag_list_x,content_tag_list_x,operations_tag_list_x,supplement_tag_list_y,content_tag_list_y,operations_tag_list_y,Difference
65642be7d3f53b00109b2353,unset,['其他花'],"['生机带来的希望', 'ZenColor普通图']","['方形', '普通', '中等']",['其他花'],"['ZenColor普通图', '生机带来的希望']",True
6551afc561b9c94253ebbf8f,special,['孩子'],"['彩绘作者包-Debbie_Cook', '美好生活的喜悦']","['方形', '彩绘', '困难', '困难']",['孩子'],"['彩绘作者包-Debbie_Cook', '成图采购', '美好生活的喜悦']",True
653b51eaa048b9b238971c6b,unset,['独栋房屋'],"['普通作者包-David_Carter ', '生活环境的宁静']","['方形', '普通', '普通作者包', '困难', '投放运营选图']",['独栋房屋'],['生活环境的宁静'],True
655aec370224753e46a3752e,special,['街景一角'],"['彩绘作者包-Dennis_Lewan', '生活环境的宁静']","['方形', '彩绘', '困难', '困难']",['街景一角'],"['彩绘作者包-Dennis_Lewan', '成图采购', '生活环境的宁静']",True
655aec370224753e46a37535,unset,['小径'],"['ZenColor速写图', '人工融入自然的宁静']","['方形', '普通', '困难', '困难']",['小径'],"['ZenColor速写图', '音乐图', '人工融入自然的宁静']",True
654c5afa61b9c94253eb8941,unset,['别墅'],"['ZenColor速写图', '生活环境的宁静']","['方形', '普通', '困难', '困难']",['别墅'],"['ZenColor速写图', '音乐图', '生活环境的宁静']",True
6567fabfd3f53b00109b80bd,unset,['树屋'],"['ZenColor速写图', '生活环境的宁静']","['方形', '普通', '困难', '困难']",['树屋'],"['ZenColor Daily', '高挑战图', '生活环境的宁静']",True
653a077d2a12c2cd5814e877,unset,['天马'],"['PBN速写图', '拟人化']","['方形', '普通', '困难', 'PBN速写图', '困难']",['天马'],"['PBN速写图', '魔法']",True
6566ab32d3f53b00109b627f,unset,['谷仓桥'],"['ZenColor速写图', '生活环境的宁静']","['方形', '普通', '困难', '困难']",['谷仓桥'],"['ZenColor速写图', '音乐图', '生活环境的宁静']",True
65277ec320bd66f84e892dbd,unset,['多家庭房屋'],"['PBN速写图', '生活与节日']","['方形', '普通', '困难', '困难']",['多家庭房屋'],['生活与节日'],True
656e9ea6051065b03efbb8d1,unset,['橱窗店面'],"['ZenColor速写图', '生活环境的宁静']","['方形', '普通', '困难', '困难']",['橱窗店面'],"['ZenColor速写图', '音乐图', '生活环境的宁静']",True
656e9ea6051065b03efbb8cf,unset,['书房'],"['ZenColor速写图', '生活环境的宁静']","['方形', '普通', '困难', '困难']",['书房'],"['ZenColor速写图', '高挑战图', '生活环境的宁静']",True
652642a320bd66f84e890dd0,special,['欧美日常女性'],"['彩绘作者包-John_Sloane', '美好事物带来的愉悦']","['方形', '彩绘', '中等', '彩绘作者包', '投放运营选图']",['欧美日常女性'],"['彩绘作者包-John_Sloane', '美好事物带来的愉悦', '成图采购']",True
65373b2997a3ccc95060f948,unset,['欧美职业女性'],"['彩绘作者包-Aria_Garcia', '美好事物带来的愉悦']","['方形', '普通', '困难', '彩绘作者包', '困难']",['欧美日常女性'],"['美好事物带来的愉悦', '普通作者包-Aria_Garcia']",True
65364fbf97a3ccc95060eeac,unset,['其他动物'],"['生机带来的希望', 'ZenColor普通图']","['方形', '普通', '中等', 'ZenColor速写图']",['其他动物'],"['ZenColor普通图', '生机带来的希望']",True
655ed41690e4e2dd3c652a82,special,['欧洲古典式客厅'],"['彩绘作者包-Georgia Bennett', '成图采购', '生活环境的宁静']","['方形', '彩绘', '困难', '困难']",['欧洲古典式客厅'],"['彩绘作者包-Georgia Bennett', '生活环境的宁静']",True
652e0a1e20e621eaa7fa1eea,unset,['水晶球'],"['PBN速写图', '现实想象创意']","['方形', '普通', '困难', '困难']",['水晶球'],['现实想象创意'],True
6537696baec1c92dd9ec59db,unset,['漂流瓶'],"['PBN速写图', '生活与节日']","['方形', '普通', '中等']",['漂流瓶'],['生活与节日'],True
652cf5dd20e621eaa7fa0983,special,['朋友'],"['彩绘作者包-Benedicta_Buatsie', '2023节日-万圣节', '美好生活的喜悦']","['方形', '彩绘', '中等', '彩绘作者包', '万圣节']",['朋友'],"['彩绘作者包-Benedicta_Buatsie', '2023节日-万圣节', '活动彩绘', '运营型节日素材']",True
652e010620e621eaa7fa1c7c,special,['家庭'],"['彩绘作者包-Benedicta_Buatsie', '2023节日-万圣节', '美好生活的喜悦']","['方形', '彩绘', '困难', '万圣节', '困难']",['家庭'],"['彩绘作者包-Benedicta_Buatsie', '2023节日-万圣节', '亲情']",True
65431b1057cf2efe7a186a5f,special,['朋友'],"['彩绘作者包-Kari_Artik', '友情']","['方形', '彩绘', '中等']",['朋友'],"['彩绘作者包-Kari_Artik', '友情', '成图采购']",True
652cf5dd20e621eaa7fa0981,unset,['天使'],"['PBN速写图', '魔法']","['方形', '普通', '困难', '困难']",['天使'],['魔法'],True
653a077d2a12c2cd5814e879,unset,['极光'],"['ZenColor速写图', '人工融入自然的宁静']","['方形', '普通', '困难', 'ZenColor速写图', '困难']",['极光'],"['ZenColor速写图', '美好事物带来的愉悦']",True
652547debcf5a38b83c5d818,unset,['其他鸟'],"['PBN速写图', '自然与生态']","['方形', '普通', '困难', '困难']",['其他鸟'],['自然与生态'],True
654da6f161b9c94253eba141,unset,['别墅'],"['ZenColor速写图', '生活环境的宁静']","['方形', '普通', '困难', '困难']",['别墅'],"['ZenColor速写图', '高挑战图', '生活环境的宁静']",True
652cf5dd20e621eaa7fa0980,unset,['凤凰'],"['PBN速写图', '魔法']","['方形', '普通', '困难', '困难']",['凤凰'],['魔法'],True
6537696baec1c92dd9ec59e4,unset,['多种动物'],"['ZenColor速写图', '生机带来的希望']","['方形', '普通', '困难', 'ZenColor速写图', '困难']",['多种动物'],"['ZenColor速写图', '美好事物带来的愉悦']",True
